airline,code,aircrafts
Ibex Airlines,FW / IBX,10
Icelandair,FI / ICE,41
IFL Group,IFL,30
IndiGo,6E / IGO,258
Inter Airlines,6K / INX,3
Interair South Africa,D6 / ILN,1
InterCaribbean Airways,JY / IWY,13
Interjet,4O / AIJ,88
InterJet West,K8 / IJW,1
IrAero,IO / IAE,18
Iran Air,IR / IRA,42
Iran Airtour,B9 / IRB,8
Iran Aseman Airlines,EP / IRC,24
Iraqi Airways,IA / IAW,31
Israir Airlines,6H / ISR,8
Izhavia,I8 / IZA,8
Jambojet,JM / JMA,6
Japan Air Commuter,3X / JAC,13
Japan Airlines,JL / JAL,214
Japan Transocean Air,NU / JTA,19
Jasmin Airways,JO / JAW,2
Jazeera Airways,J9 / JZR,17
JC Airlines,QD / JCC,5
Jeju Air,7C / JJA,45
Jet Asia Airways,JF / JAA,5
Jet Aviation Flight Services,JAS,1
Jet Linx Aviation,JTL,5
Jet Logistics,JLG,1
Jet Time,J4 / JTG,12
Jet2,LS / EXS,97
JetBlue Airways,B6 / JBU,259
Jetclub,0J / JCS,4
Jetfly Aviation,JFA,34
JetSMART,JA / JAT,17
Jetstar Airways,JQ / JST,129
Jetsuite Air,RSP,3
Jetways Airlines,WU / JWX,7
Jiangxi Air,RY / CJX,10
Jin Air,LJ / JNA,27
Jonika,JNK,3
Jordan Aviation,R5 / JAV,7
Jordan International Air Cargo,JCI,2
Jota Aviation,ENZ,7
JoyAir,JR / JOY,1
JSX,XE / JSX,20
Juneyao Airlines,HO / DKH,75
Just Us Air,JOC,3
K-Mile Air,8K / KMI,3
K5-Aviation Germany,KAY,2
KaiserAir,KAI,4
Kalitta Air,K4 / CKS,32
Kalitta Charters,K9 / KFS,38
Kam Air,RQ / KMF,14
Karinou Airlines,U5 / KRN,1
Karun Airlines,NV / IRG,9
KD Air,KDC,6
Keewatin Air,FK / KEW,10
Kelowna Flightcraft Air,FK / KFA,7
Kenmore Air,M5 / KEN,34
Kenn Borek Air,4K / KBA,38
Kenya Airways,KQ / KQA,39
Key Lime Air,KG / LYM,15
Kharkiv Airlines,KW / KHK,1
Khors Air,KHO,6
Kish Air,Y9 / KIS,11
KLM,KL / KLM,178
KMV Avia,KV / MVD,7
Komiaviatrans,KO / KMA,4
Korea Express Air,KW / KEA,3
Korean Air,KE / KAL,177
Kosmos Airlines,KSM,17
Kunming Airlines,KY / KNA,33
Kuwait Airways,KU / KAC,31
La Compagnie,B0 / DJT,2
La Costena,NIS,4
Labcorp,SKQ,8
LAM Mozambique Airlines,TM / LAM,4
Lanmei Airlines,LQ / MKR,6
Lao Airlines,QV / LAO,11
Lao Skyway,LK / LLL,2
Laser Airlines,QL / LER,14
LATAM Airlines,LA / LAN,328
